"Periodo","Tienda","Turno","Efectivo","Tarjeta","Total"
"2025-11-24","Salto del Agua","Ambos","3690","791.51","4481.51"
"2025-11-25","Salto del Agua","Ambos","8560","820.29","9380.29"
"2025-11-26","Salto del Agua","Ambos","6935","1616.59","8551.59"
"2025-11-27","Salto del Agua","Ambos","6960","1252.02","8212.02"
"2025-11-28","Salto del Agua","Ambos","8085","1866.03","9951.03"
"2025-11-29","Salto del Agua","Ambos","5910","1122.5","7032.5"
"2025-11-30","Salto del Agua","Ambos","4315","652.39","4967.39"
"2025-12-01","Salto del Agua","Ambos","7340","1007.37","8347.37"
"2025-12-02","Salto del Agua","Ambos","8320","1064.93","9384.93"
"2025-12-03","Salto del Agua","Ambos","6150","1439.1","7589.1"
"2025-12-04","Salto del Agua","Ambos","7420","1031.35","8451.35"
"2025-12-05","Salto del Agua","Ambos","9380","2288.17","11668.17"
"2025-12-06","Salto del Agua","Ambos","9190","873.05","10063.05"
"2025-12-07","Salto del Agua","Ambos","3620","374.17","3994.17"
"2025-12-08","Salto del Agua","Ambos","6070","858.66","6928.66"
"2025-12-09","Salto del Agua","Ambos","8350","1722.12","10072.12"
"2025-12-10","Salto del Agua","Ambos","7435","1367.15","8802.15"
"2025-12-11","Salto del Agua","Ambos","8055","1007.37","9062.37"
"2025-12-12","Salto del Agua","Ambos","7715","839.48","8554.48"
"2025-12-13","Salto del Agua","Ambos","6070","1669.36","7739.36"
"2025-12-14","Salto del Agua","Ambos","4055","599.63","4654.63"
"2025-12-15","Salto del Agua","Ambos","6275","853.87","7128.87"
"2025-12-16","Salto del Agua","Ambos","9625","1549.43","11174.43"
"2025-12-17","Salto del Agua","Ambos","9195","2777.46","11972.46"
"2025-12-18","Salto del Agua","Ambos","8705","1309.58","10014.58"
"2025-12-19","Salto del Agua","Ambos","8930","1424.71","10354.71"
"2025-12-20","Salto del Agua","Ambos","6065","945.01","7010.01"
"2025-12-21","Salto del Agua","Ambos","4500","307.01","4807.01"
"2025-12-22","Salto del Agua","Ambos","4880","465.31","5345.31"
"2025-12-23","Salto del Agua","Ambos","9555","3453.84","13008.84"
"2025-12-24","Salto del Agua","Ambos","8640","1021.76","9661.76"
"2025-12-25","Salto del Agua","Ambos","0","0","0"
"2025-12-26","Salto del Agua","Ambos","5085","1304.78","6389.78"
"2025-12-27","Salto del Agua","Ambos","5710","1132.09","6842.09"
"2025-12-28","Salto del Agua","Ambos","3215","460.51","3675.51"
"2025-12-29","Salto del Agua","Ambos","4730","1146.48","5876.48"
"2025-12-30","Salto del Agua","Ambos","8210","2081.9","10291.9"
"2025-12-31","Salto del Agua","Ambos","5590","2360.12","7950.12"
"2026-01-01","Salto del Agua","Ambos","0","0","0"
"2026-01-02","Salto del Agua","Ambos","5690","849.07","6539.07"
"2026-01-03","Salto del Agua","Ambos","5745","446.12","6191.12"
"2026-01-04","Salto del Agua","Ambos","4845","503.68","5348.68"
"2026-01-05","Salto del Agua","Ambos","4345","968.99","5313.99"
"2026-01-06","Salto del Agua","Ambos","6540","829.88","7369.88"
"2026-01-07","Salto del Agua","Ambos","5940","297.41","6237.41"
"2026-01-08","Salto del Agua","Ambos","6875","877.85","7752.85"
"2026-01-09","Salto del Agua","Ambos","5610","1184.86","6794.86"
"2026-01-10","Salto del Agua","Ambos","4155","978.59","5133.59"
"2026-01-11","Salto del Agua","Ambos","2960","0","2960"
"2026-01-12","Salto del Agua","Ambos","8563","762.72","9325.72"
"2026-01-13","Salto del Agua","Ambos","7380","1611.79","8991.79"
"2026-01-14","Salto del Agua","Ambos","6680","1878.51","8558.51"
"2026-01-15","Salto del Agua","Ambos","7783","1515.85","9298.85"
"2026-01-16","Salto del Agua","Ambos","5985","1007.37","6992.37"
"2026-01-17","Salto del Agua","Ambos","5360","546.86","5906.86"
"2026-01-18","Salto del Agua","Ambos","1380","244.65","1624.65"
"2026-01-19","Salto del Agua","Ambos","7920","1501.46","9421.46"
"2026-01-20","Salto del Agua","Ambos","8020","820.29","8840.29"
"2026-01-21","Salto del Agua","Ambos","5512","1453.49","6965.49"
"2026-01-22","Salto del Agua","Ambos","6060","877.85","6937.85"
"2026-01-23","Salto del Agua","Ambos","5755","1247.22","7002.22"
"2026-01-24","Salto del Agua","Ambos","4100","1256.81","5356.81"
"2026-01-25","Salto del Agua","Ambos","2695","417.34","3112.34"
"2026-01-26","Salto del Agua","Ambos","5575","532.47","6107.47"
"2026-01-27","Salto del Agua","Ambos","6300","1218.44","7518.44"
"2026-01-28","Salto del Agua","Ambos","6750","978.59","7728.59"
"2026-01-29","Salto del Agua","Ambos","6900","786.71","7686.71"
"2026-01-30","Salto del Agua","Ambos","6020","930.62","6950.62"
"2026-01-31","Salto del Agua","Ambos","7300","805.9","8105.9"
"2026-02-01","Salto del Agua","Ambos","2145","211.07","2356.07"
"2026-02-02","Salto del Agua","Ambos","7920","1391.13","9311.13"
"2026-02-03","Salto del Agua","Ambos","7845","570.84","8415.84"
"2026-02-04","Salto del Agua","Ambos","7070","805.9","7875.9"
"2026-02-05","Salto del Agua","Ambos","6430","647.6","7077.6"
